word1,word2,PathSim,WUP,LCH,RES,JNC,Lin
tiger,cat,0.09090909090909091,0.5454545454545454,1.2396908869280152,2.149989385806559,0.06069752762369984,0.20697738113539005
tiger,tiger,1.0,0.75,3.6375861597263857,11.461556240372861,1e+300,1.0
plane,car,0.1111111111111111,0.6666666666666666,1.4403615823901665,5.870960165508497,0.18448391451307966,0.6841635258489551
train,car,0.125,0.6666666666666666,1.55814461804655,5.598231012107192,0.15584647281241334,0.6356918673290911
television,radio,0.3333333333333333,0.9,2.538973871058276,8.168286234814259,0.5156780024458977,0.8938925738859433
media,radio,0.25,0.8235294117647058,2.2512917986064953,6.831377296365345,0.3464806224316378,0.8255980157186219
bread,butter,0.25,0.75,2.2512917986064953,6.8605981706728665,0.1721139485259107,0.7025234295642022
cucumber,potato,0.058823529411764705,0.2,0.8043728156701697,0.7747364230157743,0.04702367759087809,0.06791359704671053
doctor,nurse,0.25,0.8695652173913043,2.2512917986064953,7.236337640309257,0.4165235476816761,0.8577162616719536
professor,doctor,0.14285714285714285,0.5,1.6916760106710724,6.094782431301666,0.23086506060640452,0.7378180177194911
student,professor,0.125,0.5714285714285714,1.55814461804655,2.267668121789111,0.08356426845350119,0.2748326604966415
smart,stupid,0.07142857142857142,0.13333333333333333,0.9985288301111273,-0.0,0.05038471427935793,-0.0
wood,forest,0.09090909090909091,0.2857142857142857,1.2396908869280152,0.6182157796627341,0.0621080971838296,0.07131589211749113
money,cash,0.25,0.8,2.2512917986064953,6.065718059140692,0.26663094995898823,0.7638510975927868
king,queen,0.1,0.5714285714285714,1.3350010667323402,2.149989385806559,0.07238516303714541,0.2373716356406872
king,rook,0.07142857142857142,0.38095238095238093,0.9985288301111273,1.596004591709181,0.07061772414516933,0.18394821169735667
bishop,rabbi,0.2,0.5454545454545454,2.0281482472922856,6.707860415736076,0.12941501110717873,0.6345290600131843
fuck,sex,0.3333333333333333,0.8571428571428571,2.538973871058276,7.108524804741451,0.4590374881025289,0.8671300945917017
football,soccer,0.5,0.96,2.9444389791664407,8.765693650864842,0.5648724699764198,0.9082821077590651
football,basketball,0.16666666666666666,0.782608695652174,1.845826690498331,7.903383192433946,0.17063900393210596,0.7295287675061061
football,tennis,0.16666666666666666,0.782608695652174,1.845826690498331,7.903383192433946,0.347087552634677,0.845829658172482
Arafat,Jackson,0.25,0.5714285714285714,2.2512917986064953,6.505169599125115,0.08666333190291935,0.5299690210715838
physics,chemistry,0.3333333333333333,0.9,2.538973871058276,7.910439051208072,0.23623515378135795,0.7889158697987423
vodka,gin,0.3333333333333333,0.9090909090909091,2.538973871058276,8.679936567918102,0.16926867987087132,0.7460951212330069
vodka,brandy,0.3333333333333333,0.9090909090909091,2.538973871058276,8.679936567918102,0.20922096711380436,0.7841128399944354
drink,eat,0.3333333333333333,0.5,2.159484249353372,4.822720905206508,0.16288562675826337,0.6110619934817493
car,automobile,1.0,1.0,3.6375861597263857,7.724221185877199,1e+300,1.0
gem,jewel,0.125,0.5882352941176471,1.55814461804655,2.519448279922861,0.05980871459091341,0.23157898467865226
journey,voyage,0.25,0.8571428571428571,2.2512917986064953,6.534910041361008,0.2306015078640532,0.7508669964666412
boy,lad,0.3333333333333333,0.6666666666666666,2.538973871058276,6.2178283043216505,0.19662439926146247,0.7097371722132519
coast,shore,0.5,0.9090909090909091,2.9444389791664407,9.518079807282943,1.5954276696857181,0.9681232388977108
asylum,madhouse,0.125,0.631578947368421,1.55814461804655,4.176713793222637,0.06959907912714457,0.3676452668937977
magician,wizard,0.16666666666666666,0.631578947368421,1.845826690498331,2.267668121789111,0.058947172700852216,0.21094902833965562
midday,noon,1.0,1.0,3.6375861597263857,10.603566886709613,1e+300,1.0
furnace,stove,0.07692307692307693,0.45454545454545453,1.072636802264849,2.519448279922861,0.06614741384718018,0.24998686131328893
food,fruit,0.09090909090909091,0.2857142857142857,1.2396908869280152,0.7747364230157743,0.09195576884779326,0.12471342768156099
bird,cock,0.0625,0.21052631578947367,0.8649974374866046,0.7747364230157743,0.07022318341242612,0.09813135004881215
bird,crane,0.1111111111111111,0.6,1.4403615823901665,2.149989385806559,0.06495242559931506,0.21831888530296778
food,rooster,0.0625,0.21052631578947367,0.8649974374866046,0.7747364230157743,0.06341555211008372,0.08946935655348771
money,dollar,0.1111111111111111,0.42857142857142855,1.4403615823901665,2.4564370863231035,0.07463281946288793,0.26828999764266787
money,currency,0.3333333333333333,0.8571428571428571,2.538973871058276,6.065718059140692,0.5551097026419812,0.8707054474359877
tiger,jaguar,0.08333333333333333,0.5217391304347826,1.1526795099383855,2.149989385806559,0.05407599308734432,0.18865784054858342
